"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785345058704625903","Tue Apr 30 16:26:46 +0000 2024","592","LUCY'S DAD IN FALLOUT IS THE GUY WHO SHOOTS A KID IN LAW AND ORDER??? https://t.co/2ya4D4LqEB","1785345058704625903","https://pbs.twimg.com/media/GMbR3nFWUAAemQN.jpg","","en","he/him 20","7","6","57","https://twitter.com/CoffeeEnjoyer01/status/1785345058704625903","1151649736409194496","CoffeeEnjoyer01"
"1786092422662897982","Thu May 02 17:56:32 +0000 2024","24","Fallout #DayZ has just reached 3500 players! We have only been open 11 days Myself and the Dev team are VERY proud of this achievment BUT this is just the begining in a few days the PUBLIC version of the master mod will be released for ALL to use the floodgates are opening https://t.co/HZt67EMGyo","1786092422662897982","https://pbs.twimg.com/media/GMl5ejkWEAAkvwS.jpg","","en","United Kingdom","1","3","4","https://twitter.com/every1knowsdav1/status/1786092422662897982","1351949980349706240","every1knowsdav1"
"1785340363924013200","Tue Apr 30 16:08:07 +0000 2024","4366","Success of Fallout Series Prompts Amazon to Develop Its Own Nuclear Weapons https://t.co/nCix8exIgY","1785340363924013200","","","en","satire","14","19","458","https://twitter.com/HardDriveMag/status/1785340363924013200","867929010877190144","HardDriveMag"
"1786156023482630608","Thu May 02 22:09:15 +0000 2024","371","Vault-Tec Corporation can help you! (Maybe) #Splatoon3 #Splatoonfanart #Fallout #art https://t.co/AFHya1pVVP","1786156023482630608","https://pbs.twimg.com/media/GMmyqLObQAQdwaD.jpg","","en","China","2","5","65","https://twitter.com/MengGekkd/status/1786156023482630608","1078599944339054592","MengGekkd"
"1786294993973362840","Fri May 03 07:21:28 +0000 2024","14","️ Fallout friends ️ 40 Euros Species and gender can be changed. (Major changes to the lineart will cost extra) Payment via PayPal only! Open until stated otherwise Comment or dm to claim! Piece will look like the example shown here DM if you have any questions #furry https://t.co/jNRZj1s94B","1786294993973362840","https://pbs.twimg.com/media/GMox0qhXQAAMI7o.jpg","","en","Trondheim, Norge","0","1","6","https://twitter.com/NorwegianFennec/status/1786294993973362840","1400759991565524996","NorwegianFennec"
"1785173308503458200","Tue Apr 30 05:04:18 +0000 2024","455","Fallout alien says n word https://t.co/IeYyJy0W8V","1785173308503458200","https://pbs.twimg.com/ext_tw_video_thumb/1785173206439227392/pu/img/eWvckuZPWVVqeknd.jpg","","en","20 (♥ Lune)","0","0","61","https://twitter.com/ARGGENT3/status/1785173308503458200","1217113169509830656","ARGGENT3"
"1786074080137085329","Thu May 02 16:43:39 +0000 2024","125","no one move https://t.co/gZec65Fddg","1786074080137085329","https://pbs.twimg.com/media/GMlo6GyaYAMPBO1.jpg","","en","today: chengdu, china ","4","1","26","https://twitter.com/fobtours/status/1786074080137085329","1665549222840614912","fobtours"
"1785315876826403152","Tue Apr 30 14:30:49 +0000 2024","231","Ironically doodled this because I lost focus. #HeartofSomewhere https://t.co/pd6c25JsLE","1785315876826403152","https://pbs.twimg.com/media/GMa3Up9bMAAS_J7.jpg","","en","Thailand","0","1","30","https://twitter.com/milramemo/status/1785315876826403152","4560826885","milramemo"
"1786163528526696467","Thu May 02 22:39:05 +0000 2024","1","I'm casually-obsessed and I've forgiven death I am indifferent yet (I'm a total wreck) I'm every cliche but I simply do it best https://t.co/xvafMqm8W5","1786163528526696467","","","en","ela/elu","0","1","0","https://twitter.com/whereislacopo/status/1786163528526696467","916080412341997569","whereislacopo"
"1786033689492603389","Thu May 02 14:03:09 +0000 2024","343","Fall Out Boy playing Sixteen Candles live in Chengdu China today https://t.co/KcZ2bsYz4G","1786033689492603389","https://pbs.twimg.com/ext_tw_video_thumb/1786028379499532288/pu/img/2vkYC_h97HVTmuwO.jpg","","en","","8","1","60","https://twitter.com/truantzwave/status/1786033689492603389","1266490205000867841","truantzwave"
"1786073667040084344","Thu May 02 16:42:00 +0000 2024","43","One last video for today fall out boy playing immortals on we are immortals stage lol https://t.co/K9gJ6yUMc5","1786073667040084344","https://pbs.twimg.com/ext_tw_video_thumb/1786073627202576384/pu/img/XV-Ri8G70q3nyzhZ.jpg","","en","","0","0","8","https://twitter.com/PUFFcaz/status/1786073667040084344","1472631257746059264","PUFFcaz"
"1786033386093416657","Thu May 02 14:01:56 +0000 2024","2362","May Prime Gaming free titles lineup: -Tomb Raider Game of the Year Edition (GOG) -LEGO STAR WARS III: The Clone Wars (GOG) -Dark City: International Intrigue -Fallout 3: Game of the Year Edition (GOG) -Nine Witches: Family Disruption -Electrician Simulator (EGS) -100 Doors https://t.co/PXIswyCblI","1786033386093416657","https://pbs.twimg.com/media/GMlDuVaXIAA8KUS.jpg","","en","Bay Area, California","30","31","248","https://twitter.com/Wario64/status/1786033386093416657","28955739","Wario64"
"1785033728617508891","Mon Apr 29 19:49:39 +0000 2024","21","Frank Horrigan but awesome #fallout https://t.co/FadOCx5CCD","1785033728617508891","https://pbs.twimg.com/media/GMW2rHaWUAAUn94.jpg","","en","","0","1","5","https://twitter.com/lynxzyboy/status/1785033728617508891","1562894910071906305","lynxzyboy"
"1786107067796693303","Thu May 02 18:54:43 +0000 2024","31","how i think fall out boy would respond to you asking them to buy you pads a ","1786107067796693303","","","en","23 ⟡ they/them 🍉","0","1","9","https://twitter.com/stumpclubprez/status/1786107067796693303","2871539066","stumpclubprez"
"1786113515079491883","Thu May 02 19:20:21 +0000 2024","35","Platinum 234 - Fallout 4 #PlayStationTrophy #PS5 #Fallout4 https://t.co/jEYtKcvGK3","1786113515079491883","https://pbs.twimg.com/ext_tw_video_thumb/1786113443306590208/pu/img/3EAnXXkEpxZIMNPu.jpg","","en","Stockholm, Sweden","0","3","1","https://twitter.com/MysticGrogu/status/1786113515079491883","1621653585363718144","MysticGrogu"
"1785416972861108489","Tue Apr 30 21:12:32 +0000 2024","461","shauna s commitment to flannel is genuinely impressive. bbg has flannel curtain ffs https://t.co/JCKEZCmjGR","1785416972861108489","https://pbs.twimg.com/media/GMcTQb7WMAAt__n.jpg","","en","she/her, 22","3","3","27","https://twitter.com/scarletIore/status/1785416972861108489","1271933541425831938","scarletIore"
"1785765914677580044","Wed May 01 20:19:06 +0000 2024","309","East coast #Fallout maps aren't 1 for 1 west coast ones pretty much are. Since we love to justify game mechanics what could be the lore justification? Heavily bombed out east? Something big happen after the timeline split? Lmk? #falloutmappingproject https://t.co/sbD1U9lGjW","1785765914677580044","https://pbs.twimg.com/ext_tw_video_thumb/1785765886881935360/pu/img/VzzxYF5jUiKzW-r1.jpg","","en","California, USA","3","28","20","https://twitter.com/Tunnelsnakefool/status/1785765914677580044","1059933951412695040","Tunnelsnakefool"
"1786096097733001368","Thu May 02 18:11:08 +0000 2024","44","MATCH MADE IN HEAVEN @kkundrra @itsmetejasswi #TejRan Baby you're the reason why i'm falling Never felt so right Sometimes we simply fall out But that don't change the fact I'm tied to your love like heaven's chains Always. EVIL EYES OFF TEJRAN ️ https://t.co/LdngwIuI2v","1786096097733001368","https://pbs.twimg.com/ext_tw_video_thumb/1786096043697831936/pu/img/BGpolU6ekmJ3MjCS.jpg","","en","","0","1","10","https://twitter.com/AlkaMis80219214/status/1786096097733001368","1241821533837778944","AlkaMis80219214"
"1786266514380952002","Fri May 03 05:28:18 +0000 2024","25","He slowly coming along kinda feel awake enough that I might try streaming Fallout 76 in like I dunno half an hour or so? https://t.co/S0NT82Bcnt","1786266514380952002","https://pbs.twimg.com/media/GMoX7PjbMAAuaJN.jpg","","en","The Entire Circus","0","0","3","https://twitter.com/DKDiamantes/status/1786266514380952002","253453300","DKDiamantes"
"1785292079909806501","Tue Apr 30 12:56:15 +0000 2024","53","this happened to fall out boy","1785292079909806501","","","en","14 • they/she • lesbian","0","1","8","https://twitter.com/_fionasapples/status/1785292079909806501","1462870391236403201","_fionasapples"
"1786093688864817190","Thu May 02 18:01:34 +0000 2024","154","All 4 Fallout titles are in Steam Deck's top 20 most played games for April 2024 #Bethesda Fallout 4 Fallout: New Vegas Fallout 76 Fallout 3: Game of the Year Edition Fallout TV series is having great effect on its IPs. https://t.co/Lb0gxHkrRT","1786093688864817190","https://pbs.twimg.com/media/GMl6vpVXgAAeJX2.jpg","","en","","1","3","14","https://twitter.com/HazzadorGamin/status/1786093688864817190","1116963904481980416","HazzadorGamin"
"1786110225478451553","Thu May 02 19:07:16 +0000 2024","31","Hard agree. The way power armor works in Fallout 4 is an objective improvement over all the other games. I only wish you didn't get access to your first suit so quickly after starting.","1786110225478451553","","","en","","0","4","3","https://twitter.com/der_Wrangler/status/1786110225478451553","1701258660280725504","der_Wrangler"
"1786124018627535106","Thu May 02 20:02:05 +0000 2024","20","thinking about draw more armours but more like fantasy or sci-fi... Maybe i'll draw the T-60 from fallout or from souls series... mmmhh... https://t.co/qrFL3XLyuX","1786124018627535106","https://pbs.twimg.com/media/GMmWHXUXQAACJcn.png","","en","","0","0","3","https://twitter.com/AkastoLeio/status/1786124018627535106","1337654114117963777","AkastoLeio"
"1785527659008803220","Wed May 01 04:32:22 +0000 2024","44","people who don t like mania by fall out boy need to GROW UP","1785527659008803220","","","en","he / they","2","4","12","https://twitter.com/VIVALVENGEANCE/status/1785527659008803220","1231088387102085120","VIVALVENGEANCE"
"1786132387375554574","Thu May 02 20:35:20 +0000 2024","14","lead singer of fall out boy and pete wentz https://t.co/CB9e0VzWSo","1786132387375554574","https://pbs.twimg.com/media/GMmd737bQAI1UFm.jpg","","en","23 any prns","0","0","1","https://twitter.com/yaoifolie/status/1786132387375554574","1676454201889804288","yaoifolie"
"1785323226308178228","Tue Apr 30 15:00:01 +0000 2024","434","#𝗙𝗮𝗹𝗹𝗼𝘂𝘁𝟳𝟲 #FO76 #Fallout #Bethesda: Look out for random wasteland encounters with Zetans and The Emissary (he may carry a mysterious key) https://t.co/deez5ULx9d","1785323226308178228","https://pbs.twimg.com/media/GMKmm6IWMAAwsXz.jpg","","en","Devon, England.","5","9","52","https://twitter.com/SpudGR/status/1785323226308178228","1165594214677303296","SpudGR"
"1785811607865471098","Wed May 01 23:20:40 +0000 2024","897","The fallout 4 McDonalds","1785811607865471098","","","en","","0","14","79","https://twitter.com/FckedLynx/status/1785811607865471098","1390205770134786051","FckedLynx"
"1785664927446770062","Wed May 01 13:37:49 +0000 2024","28","LUCY S DAD IN FALLOUT IS THE MAYOR OF PORTLAND?? https://t.co/SnNkQw8QxM","1785664927446770062","https://pbs.twimg.com/media/GMf0wD-W4AAXWRg.jpg","","en","he/they","0","0","6","https://twitter.com/moogmodular55/status/1785664927446770062","1742747418255323136","moogmodular55"
"1786095425432285627","Thu May 02 18:08:28 +0000 2024","18","ghoulvaultknight bc the wasteland is hard and they need caps https://t.co/lk83gpWc14","1786095425432285627","https://pbs.twimg.com/media/GMl8UmtW0AAoc3T.jpg","","en","xe/they | 24 | ♡ var ♡","1","0","9","https://twitter.com/gimleafs/status/1786095425432285627","1406322742551527427","gimleafs"
"1785537705998196801","Wed May 01 05:12:17 +0000 2024","13","pals fellas guys go play modded new vegas #fallout #falloutnewvegas #tutorial #modding #pcgaming #fallout3 #fallout4 #gaming https://t.co/41mP60kbJ7","1785537705998196801","https://pbs.twimg.com/ext_tw_video_thumb/1785537291722592256/pu/img/tV9qlUk7vMPrX3rb.jpg","","en","Florida, USA","1","2","1","https://twitter.com/nihlxxstic/status/1785537705998196801","1763302321792954368","nihlxxstic"
"1785746277566644562","Wed May 01 19:01:04 +0000 2024","67","Reasons why the new FNF Update sucks! A thread () https://t.co/xXvsLX4nTM","1785746277566644562","https://pbs.twimg.com/media/GMg-xkAWQAA81vU.jpg","","en","He/Him","3","7","8","https://twitter.com/DiamondsChest/status/1785746277566644562","1406042675078483970","DiamondsChest"
"1786045125170208989","Thu May 02 14:48:35 +0000 2024","268","Fall Out Boy performing Love From The Other Side and The Take Over The Breaks Over live in Chengdu China today https://t.co/lZb3fIoisj","1786045125170208989","https://pbs.twimg.com/ext_tw_video_thumb/1786044969423122432/pu/img/lPyuLRxHsKKYcGgU.jpg","","en","","9","1","46","https://twitter.com/truantzwave/status/1786045125170208989","1266490205000867841","truantzwave"
"1785741335690908058","Wed May 01 18:41:26 +0000 2024","76","What if fallout was in halo? Full video here: https://t.co/xh2uEb6qRE https://t.co/2UjnnWmbJ4","1785741335690908058","https://pbs.twimg.com/ext_tw_video_thumb/1785741014637973505/pu/img/TOBdrA2qYoU9IfzX.jpg","","en","USA","1","5","13","https://twitter.com/MythicJaqui/status/1785741335690908058","1523062230","MythicJaqui"
"1786108711150276814","Thu May 02 19:01:15 +0000 2024","466"," War. War never changes. - A sort of mash-up of Fallout and Destiny with skin-tight jumpsuit Drifter as the Vault Dweller and Archie as Dogmeat. #Destiny2Art #Destiny2AOTW https://t.co/0KEnSx9bJj","1786108711150276814","https://pbs.twimg.com/media/GMmCyoCWsAA1VLm.jpg","","en","","0","14","88","https://twitter.com/Monoceros3D/status/1786108711150276814","1546519937199521794","Monoceros3D"
"1785794729034363215","Wed May 01 22:13:36 +0000 2024","280","The Circle is being broken! Fallout of the Grand Lie!","1785794729034363215","","","en","Portland, OR","0","9","84","https://twitter.com/BaddCompani/status/1785794729034363215","868673067223887872","BaddCompani"
"1785720633965392104","Wed May 01 17:19:10 +0000 2024","18","nobody puts baby in the corner - fall out boy (guitar cover) https://t.co/EgH2i8Irjf","1785720633965392104","https://pbs.twimg.com/ext_tw_video_thumb/1785720513525907456/pu/img/hydWNSXPPeWd1X2Q.jpg","","en","any prns!","1","2","4","https://twitter.com/frrkiero/status/1785720633965392104","1395609633889275904","frrkiero"
"1786104659351908547","Thu May 02 18:45:09 +0000 2024","56","A Leyendecker study of my Fallout 4 Sole Survivor- Cecil #Fallout https://t.co/k8wQIeed2a","1786104659351908547","https://pbs.twimg.com/media/GMmEtMPX0AE_LHu.jpg","","en","","0","1","5","https://twitter.com/thejoxaren/status/1786104659351908547","1025519248117047298","thejoxaren"
"1786341554056995239","Fri May 03 10:26:29 +0000 2024","4","I got a shiny new table runner made for UKGE and within seconds of hanging it over the bannister to let the creases fall out along comes my real life mascot https://t.co/EOSdMO5fnY","1786341554056995239","https://pbs.twimg.com/media/GMpboEIXwAAwe2W.jpg","","en","UK","0","1","1","https://twitter.com/MontfordTales/status/1786341554056995239","1422200976539365385","MontfordTales"
"1786199260687380955","Fri May 03 01:01:04 +0000 2024","50","Missouri Republicans: Government shouldn t be feeding school kids or giving poor people healthcare. Also Missouri Republicans: Government should absolutely pay the legal costs for the fallout of our juvenile impulsive and unnecessary shitposts on social media. GTFO #moleg","1786199260687380955","","","en","Missouree","1","2","13","https://twitter.com/emzorbit/status/1786199260687380955","537496507","emzorbit"
"1786213003945209893","Fri May 03 01:55:41 +0000 2024","146","Ppl who keep screenshots with the intention of using them against u if y all fall out are weird to me idk..","1786213003945209893","","","en","","9","2","68","https://twitter.com/NayaAshley_/status/1786213003945209893","2240137541","NayaAshley_"
